		c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	cX
3	1	2.8497148435	4.2436072728	3.7557246832	5.40430501	3.9343668818	5.142752552	2.4577035555	4.4321347397	2.8117895871	3.9445000859	3.4081753811	2.3078748695	2.7640502093	2.7779999508	2.7054992202	2.8241540235	4.0741264855	4.2361183535	3.1101433912	4.7843175766	3.6830614377	3.3555901652	2.6270278793
	2	2.8623456821	4.2395241443	3.6054600602	3.6643919984	3.0652610795	4.7688577264	3.7554983879	3.2100758335	3.1166705617	3.2525294516	3.2305157339	4.5663706968	4.5630659784	3.1993100974	2.1965031641	3.2791374145	2.6450873128	3.0519073013	2.6303773176	2.591497922	4.0629166984	3.5322467563	5.0328413858
	3	5.0518248609	5.1025513465	3.947911855	2.97251211	2.6366457273	2.8671871217	4.5892682995	3.9270362936	2.8644870118	3.231203938	3.6598647333	5.1903810816	4.1805923694	4.0231234548	2.2620021837	2.5210343882	4.9899600642	3.0379141063	3.1765976971	3.7031984276	2.1059199134	3.0547628468	3.5654563179
	4	5.1124535402	4.4441151676	5.2312369345	2.7283919889	3.9103927877	2.9811437944	5.2462373556	3.1555093224	2.6636877512	5.201197324	4.2285607648	2.3329170609	2.4357103182	2.3426236217	2.3579870877	4.1535027094	3.3618749394	4.6042490318	3.3566721782	2.1696300925	4.9903944892	4.2260648701	2.8679005801
5	1	4.5701609367	2.5732937507	3.7126109734	2.6135434434	2.7606267815	4.6584159247	3.2375885915	4.5297820553	3.2646320176	5.2544957914	4.4080442259	4.5682612763	3.0129313631	3.4196900891	2.7866480397	3.7898016654	4.9920509755	3.4946343786	3.7718357564	2.7988836308	2.8330883979	4.3546375967	5.4309166505
	2	3.2594553694	4.151346858	3.1678996735	5.2569281592	2.6787798864	4.6692712149	3.9317916744	2.4026165433	2.9060187859	2.5368045333	5.224028091	4.812210686	3.6261274571	3.0607018706	2.7914305692	3.5959506615	4.230139377	4.789984331	3.3874664666	2.9721379964	2.5993262286	3.0240964928	4.4708991538
	3	4.4210176891	5.2216932517	2.7291450426	2.9674515714	4.2832441624	4.9191546652	4.459837618	3.4139415133	4.2987149043	2.3268335831	2.3791738975	5.2229698867	2.4409876966	3.8345772736	4.5597191741	3.2243181024	4.5950892309	2.8504578861	2.211840672	2.6723341753	3.5977387279	3.2721859873	3.6688606785
	4	3.8236672114	4.1188395977	4.9185692416	4.2793859594	5.2866628098	4.6438960838	4.0266636835	4.1417872807	3.0874142894	3.679433712	4.0789783553	3.6265767246	4.3819838955	2.5293205031	2.2164101535	3.0858590815	3.4519079339	3.6384796305	4.3772827184	4.4608224759	2.5995348419	3.3838439196	3.2359076782
7	1	11.9252736848	10.0900288278	8.6274316832	8.0545710056	7.336674522	6.8749139684	6.1309466329	5.8535589218	5.5569504515	5.4622081704	5.2519139594	5.1824672515	5.2477939538	5.1824760498	5.1250140391	5.1314695093	5.0376028429	5.0072088659	5.0948826986	5.041616096	5.0841498126	4.9681722733	9.4480141641
	2	13.676989209	9.9623996341	8.8725454315	7.6956116625	6.9301205172	6.5160133652	6.3225332996	5.8123853073	5.6956011025	5.5361076393	5.484555609	5.365746812	5.1597047166	5.0503276124	5.0547846311	5.0256913475	5.1221212856	5.0543825181	5.1078463058	4.9596001437	5.0859873691	4.9795884837	9.6786100021
